is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,condition,feature_count
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,pcmci,8
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,pcmci,8
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,pcmci,9
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,pcmci,8
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,pcmci,9
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,pcmci,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,pcmci,8
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,pcmci,9
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,pcmci,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,pcmci,9
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,pcmci,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,pcmci,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,pcmci,8
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,pcmci,11
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,jaw,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,jaw,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,jaw,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,jaw,pcmci,12
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,left_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,left_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,left_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,left_cheek,pcmci,8
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,right_cheek,persistence,1
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,right_cheek,self,10
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,right_cheek,full,80
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,right_cheek,pcmci,9
<<<<<<< Updated upstream
>>>>>>> Stashed changes
=======
>>>>>>> Stashed changes
