is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,delta_frames,delta_ms,reference_delta,error,reference_error,delta_error,evaluable,same_support,same_region_identity,same_feature_count,n_valid
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,-2,-66.667,0,1.074907,0.969543,0.105364,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,-1,-33.333,0,1.023251,0.969543,0.053708,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,0,0.0,0,0.969543,0.969543,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,1,33.333,0,1.026128,0.969543,0.056585,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,2,66.667,0,1.092861,0.969543,0.123318,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,-2,-66.667,0,1.089573,0.982833,0.10674,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,-1,-33.333,0,1.030098,0.982833,0.047265,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,0,0.0,0,0.982833,0.982833,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,1,33.333,0,1.044493,0.982833,0.06166,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,jaw,2,66.667,0,1.095944,0.982833,0.113111,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,-2,-66.667,0,1.125109,1.017683,0.107426,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,-1,-33.333,0,1.072817,1.017683,0.055134,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,0,0.0,0,1.017683,1.017683,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,1,33.333,0,1.075221,1.017683,0.057538,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,left_cheek,2,66.667,0,1.131132,1.017683,0.113449,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,-2,-66.667,0,1.122939,1.014571,0.108368,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,-1,-33.333,0,1.064682,1.014571,0.050111,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,0,0.0,0,1.014571,1.014571,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,1,33.333,0,1.067533,1.014571,0.052962,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,right_cheek,2,66.667,0,1.126692,1.014571,0.112121,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,-2,-66.667,0,1.098727,0.995405,0.103322,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,-1,-33.333,0,1.038167,0.995405,0.042762,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,0,0.0,0,0.995405,0.995405,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,1,33.333,0,1.049873,0.995405,0.054468,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,2,66.667,0,1.108677,0.995405,0.113272,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,-2,-66.667,0,1.111478,1.004617,0.106861,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,-1,-33.333,0,1.057066,1.004617,0.052449,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,0,0.0,0,1.004617,1.004617,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,1,33.333,0,1.061328,1.004617,0.056711,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,jaw,2,66.667,0,1.128863,1.004617,0.124246,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,-2,-66.667,0,1.121382,1.017945,0.103437,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,-1,-33.333,0,1.065306,1.017945,0.047361,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,0,0.0,0,1.017945,1.017945,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,1,33.333,0,1.074985,1.017945,0.05704,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,left_cheek,2,66.667,0,1.137821,1.017945,0.119876,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,-2,-66.667,0,1.148039,1.033091,0.114948,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,-1,-33.333,0,1.078073,1.033091,0.044982,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,0,0.0,0,1.033091,1.033091,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,1,33.333,0,1.088337,1.033091,0.055246,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,right_cheek,2,66.667,0,1.150052,1.033091,0.116961,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,-2,-66.667,0,1.106557,0.998417,0.10814,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,-1,-33.333,0,1.049144,0.998417,0.050727,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,0,0.0,0,0.998417,0.998417,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,1,33.333,0,1.054116,0.998417,0.055699,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,2,66.667,0,1.112369,0.998417,0.113952,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,-2,-66.667,0,1.136817,1.02821,0.108607,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,-1,-33.333,0,1.084199,1.02821,0.055989,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,0,0.0,0,1.02821,1.02821,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,1,33.333,0,1.082703,1.02821,0.054493,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,jaw,2,66.667,0,1.144819,1.02821,0.116609,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,-2,-66.667,0,1.144246,1.033723,0.110523,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,-1,-33.333,0,1.090797,1.033723,0.057074,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,0,0.0,0,1.033723,1.033723,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,1,33.333,0,1.095353,1.033723,0.06163,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,left_cheek,2,66.667,0,1.156418,1.033723,0.122695,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,-2,-66.667,0,1.152929,1.040563,0.112366,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,-1,-33.333,0,1.092553,1.040563,0.05199,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,0,0.0,0,1.040563,1.040563,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,1,33.333,0,1.097351,1.040563,0.056788,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,right_cheek,2,66.667,0,1.160373,1.040563,0.11981,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,-2,-66.667,0,1.103615,0.996065,0.10755,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,-1,-33.333,0,1.041199,0.996065,0.045134,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,0,0.0,0,0.996065,0.996065,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,1,33.333,0,1.053905,0.996065,0.05784,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,2,66.667,0,1.11531,0.996065,0.119245,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,-2,-66.667,0,1.138474,1.029222,0.109252,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,-1,-33.333,0,1.084606,1.029222,0.055384,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,0,0.0,0,1.029222,1.029222,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,1,33.333,0,1.079869,1.029222,0.050647,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,jaw,2,66.667,0,1.144744,1.029222,0.115522,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,-2,-66.667,0,1.161904,1.050269,0.111635,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,-1,-33.333,0,1.095634,1.050269,0.045365,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,0,0.0,0,1.050269,1.050269,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,1,33.333,0,1.103888,1.050269,0.053619,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,left_cheek,2,66.667,0,1.16908,1.050269,0.118811,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,-2,-66.667,0,1.175766,1.065741,0.110025,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,-1,-33.333,0,1.117724,1.065741,0.051983,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,0,0.0,0,1.065741,1.065741,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,1,33.333,0,1.120491,1.065741,0.05475,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,right_cheek,2,66.667,0,1.181342,1.065741,0.115601,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,-2,-66.667,0,1.138948,1.028554,0.110394,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,-1,-33.333,0,1.073519,1.028554,0.044965,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,0,0.0,0,1.028554,1.028554,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,1,33.333,0,1.093333,1.028554,0.064779,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,mouth,2,66.667,0,1.145952,1.028554,0.117398,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,-2,-66.667,0,1.16533,1.060244,0.105086,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,-1,-33.333,0,1.109562,1.060244,0.049318,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,0,0.0,0,1.060244,1.060244,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,1,33.333,0,1.115634,1.060244,0.05539,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,jaw,2,66.667,0,1.176469,1.060244,0.116225,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,-2,-66.667,0,1.164869,1.053584,0.111285,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,-1,-33.333,0,1.104232,1.053584,0.050648,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,0,0.0,0,1.053584,1.053584,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,1,33.333,0,1.111105,1.053584,0.057521,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,left_cheek,2,66.667,0,1.170758,1.053584,0.117174,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,-2,-66.667,0,1.157802,1.054398,0.103404,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,-1,-33.333,0,1.106399,1.054398,0.052001,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,0,0.0,0,1.054398,1.054398,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,1,33.333,0,1.102872,1.054398,0.048474,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S05,right_cheek,2,66.667,0,1.16306,1.054398,0.108662,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,-2,-66.667,0,1.143399,1.031502,0.111897,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,-1,-33.333,0,1.079769,1.031502,0.048267,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,0,0.0,0,1.031502,1.031502,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,1,33.333,0,1.082647,1.031502,0.051145,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,mouth,2,66.667,0,1.150717,1.031502,0.119215,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,-2,-66.667,0,1.149629,1.036014,0.113615,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,-1,-33.333,0,1.082386,1.036014,0.046372,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,0,0.0,0,1.036014,1.036014,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,1,33.333,0,1.092322,1.036014,0.056308,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,jaw,2,66.667,0,1.146705,1.036014,0.110691,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,-2,-66.667,0,1.180319,1.066534,0.113785,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,-1,-33.333,0,1.113036,1.066534,0.046502,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,0,0.0,0,1.066534,1.066534,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,1,33.333,0,1.120115,1.066534,0.053581,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,left_cheek,2,66.667,0,1.175499,1.066534,0.108965,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,-2,-66.667,0,1.201998,1.087917,0.114081,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,-1,-33.333,0,1.137509,1.087917,0.049592,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,0,0.0,0,1.087917,1.087917,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,1,33.333,0,1.14009,1.087917,0.052173,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S06,right_cheek,2,66.667,0,1.198005,1.087917,0.110088,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,-2,-66.667,0,1.140577,1.033536,0.107041,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,-1,-33.333,0,1.088735,1.033536,0.055199,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,0,0.0,0,1.033536,1.033536,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,1,33.333,0,1.087883,1.033536,0.054347,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,mouth,2,66.667,0,1.150814,1.033536,0.117278,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,-2,-66.667,0,1.171912,1.058898,0.113014,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,-1,-33.333,0,1.108157,1.058898,0.049259,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,0,0.0,0,1.058898,1.058898,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,1,33.333,0,1.107473,1.058898,0.048575,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,jaw,2,66.667,0,1.165753,1.058898,0.106855,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,-2,-66.667,0,1.188179,1.083945,0.104234,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,-1,-33.333,0,1.132735,1.083945,0.04879,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,0,0.0,0,1.083945,1.083945,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,1,33.333,0,1.142315,1.083945,0.05837,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,left_cheek,2,66.667,0,1.198777,1.083945,0.114832,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,-2,-66.667,0,1.211022,1.100696,0.110326,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,-1,-33.333,0,1.151387,1.100696,0.050691,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,0,0.0,0,1.100696,1.100696,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,1,33.333,0,1.155377,1.100696,0.054681,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S07,right_cheek,2,66.667,0,1.216906,1.100696,0.11621,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,-2,-66.667,0,1.176586,1.064175,0.112411,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,-1,-33.333,0,1.116544,1.064175,0.052369,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,0,0.0,0,1.064175,1.064175,0.0,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,1,33.333,0,1.122754,1.064175,0.058579,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,mouth,2,66.667,0,1.175663,1.064175,0.111488,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,jaw,-2,-66.667,0,1.167505,1.060683,0.106822,True,True,True,True,240
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S08,jaw,-1,-33.333,0,1.111183,1.060683,0.0505,True,True,True,True,240
