condition,target,contrast,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,left_cheek,self-pcmci,30,15,0,0.00023618158681319983,0.0003479091172875566,18,0.6,-8.347588291045e-05,0.00044623815671010047,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,full-pcmci,30,15,0,-3.793666473580039e-05,-6.714780858543999e-05,14,0.4666666666666667,-0.0002961149001670998,0.00019962949111299987,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,persistence-self,30,15,0,-0.0005203268276603502,-0.0005092999230815901,0,0.0,-0.0006762868966639999,-0.00038805497540359956,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,self-full,30,15,0,0.0006136585958103498,0.0005900223367080668,23,0.7666666666666667,0.00010876958200344965,0.00109751082100705,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,left_eyelid,self-pcmci,30,15,0,0.0006014257291267499,0.0005228745281226267,22,0.7333333333333333,0.00018212356109829995,0.0009836535975081,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,full-pcmci,30,15,0,-0.00014027129446364962,-5.252177800159667e-05,10,0.3333333333333333,-0.00028557540924919935,-3.201898249480077e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,persistence-self,30,15,0,-0.0015325673897695498,-0.0015105023842183034,0,0.0,-0.0016644535774372493,-0.0013559923782039,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,self-full,30,15,0,0.0004863804852156999,0.000514616845641133,21,0.7,1.713383676349954e-05,0.0008883268680687996,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,mouth,self-pcmci,30,15,0,0.00048193359444849947,0.00046209506763953643,21,0.7,-5.568256381340009e-05,0.0009386399942363497,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_brow,full-pcmci,30,15,0,-6.194938074510032e-05,-5.583939682750049e-06,14,0.4666666666666667,-0.00019608499183375013,0.00010483636791849956,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_brow,persistence-self,30,15,0,-0.00019780747985970008,-0.00022986759759845992,7,0.23333333333333334,-0.0004260093980893499,-0.00012491940943939973,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_brow,self-full,30,15,0,0.0006133729374976997,0.0005613695349942432,21,0.7,2.3574526397399792e-05,0.0011068957880498997,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_brow,self-pcmci,30,15,0,0.0006904310281432998,0.0005557855953114932,22,0.7333333333333333,0.0005099565927236998,0.0010043738080796998,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_cheek,full-pcmci,24,12,0,-0.00017811932384615,-0.00013485978397166672,11,0.4583333333333333,-0.00059030356404545,0.00052605199008745,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_cheek,persistence-self,24,12,0,-0.0012772389153326998,-0.001265540553362671,0,0.0,-0.0013694801186971,-0.0011494331220698994,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_cheek,self-full,24,12,0,0.0006287483138703504,0.0006122540629680001,18,0.75,0.0002269411687201,0.0011181399740851005,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_cheek,self-pcmci,24,12,0,0.0005099565927236998,0.0004773942789963333,17,0.7083333333333334,9.727546745004999e-05,0.0009079582530393498,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_eyelid,full-pcmci,30,15,0,-4.456427428014978e-05,-0.00015891583076901,13,0.43333333333333335,-0.00017911695368295032,1.1838458825299929e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_eyelid,persistence-self,30,15,0,-0.0007444404682843998,-0.0007522809357328468,0,0.0,-0.0009271164525812003,-0.0006265231495848995,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_eyelid,self-full,30,15,0,0.0006133166803007502,0.0005818787866249332,22,0.7333333333333333,0.00021005496367224995,0.0010329156262003994,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,right_eyelid,self-pcmci,30,15,0,0.00039000576061669996,0.00042296295585592336,20,0.6666666666666666,-8.347588291045e-05,0.0009079582530393498,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,whole_face,full-pcmci,24,12,0,-8.264295190421904e-05,-8.311674515861871e-05,7,0.2916666666666667,-0.0001341265128092686,-4.698498396482533e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,whole_face,persistence-self,24,12,0,-0.0008804704103421374,-0.0008750919789478421,0,0.0,-0.0010336842638000374,-0.0007060344303399936,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,whole_face,self-full,24,12,0,0.0005121795596492369,0.0005335489510830488,24,1.0,0.00042059703312214997,0.0006396537932521749,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,whole_face,self-pcmci,24,12,0,0.00043269358509820605,0.00045043220592443003,24,1.0,0.0003702419408675743,0.0005404211239002439,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,jaw,full-pcmci,30,15,0,-6.457592613934998e-05,-8.75717799906168e-05,13,0.43333333333333335,-0.00015478214475080077,3.7199176640950044e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,jaw,persistence-self,30,15,0,-0.0014248062536083,-0.0013839455621528361,0,0.0,-0.0015424586673172995,-0.0012473234613957999,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,jaw,self-full,30,15,0,0.0005428341477266502,0.0005496668476301535,21,0.7,2.3574526397399792e-05,0.0010647330895986002,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,jaw,self-pcmci,30,15,0,0.00048193359444849947,0.00046209506763953664,21,0.7,-5.568256381349897e-05,0.0009386399942363493,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_brow,full-pcmci,30,15,0,-0.00011082454266919976,-0.00013327127277822665,11,0.36666666666666664,-0.0003377669515511996,4.0069117529700164e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_brow,persistence-self,30,15,0,0.00038396896938060025,0.0004033298558570368,30,1.0,0.0002784839351029,0.0004994126555424002,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_brow,self-full,30,15,0,0.00048638048521574976,0.0005222636352400201,21,0.7,1.713383676349954e-05,0.0009617240933620002,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_brow,self-pcmci,30,15,0,0.00036182337155284995,0.00038899236246179333,19,0.6333333333333333,-5.568256381340009e-05,0.0008037248110651001,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_cheek,full-pcmci,30,15,0,-0.00014728080769545009,-0.0001214630712794734,10,0.3333333333333333,-0.0002680491565211999,-4.9350533999000055e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_cheek,persistence-self,30,15,0,-0.00061157282396565,-0.0006295081042069666,0,0.0,-0.0008001770616772497,-0.0005184686771570503,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_cheek,self-full,30,15,0,0.0004864039163633002,0.0005444260271354,21,0.7,-7.675403113649622e-06,0.0010396189998003996,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_cheek,self-pcmci,30,15,0,0.0003900057606167004,0.00042296295585592656,20,0.6666666666666666,-8.347588291045e-05,0.0009079582530393498,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_eyelid,full-pcmci,30,15,0,-4.4391532395850024e-05,-3.423674139656988e-05,14,0.4666666666666667,-0.00035453505548139986,0.00014960550576930028,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_eyelid,persistence-self,30,15,0,-0.00010792441664684996,-0.00010718820153773995,11,0.36666666666666664,-0.0002544381002512995,8.818126610624999e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_eyelid,self-full,30,15,0,0.0006136585958103498,0.00059002233670806,23,0.7666666666666667,0.00010876958200340021,0.00109751082100705,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,left_eyelid,self-pcmci,30,15,0,0.0006904310281432998,0.0005557855953114901,22,0.7333333333333333,0.0005099565927237006,0.0010043738080797002,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,mouth,full-pcmci,30,15,0,-0.0001324272167053499,-0.00014789968017235342,10,0.3333333333333333,-0.0002844097016861001,3.8122036180299884e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,mouth,persistence-self,30,15,0,-0.0011424485042432504,-0.0011064156043544798,0,0.0,-0.0012723055542665997,-0.0009796179329889503,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,mouth,self-full,30,15,0,0.0004863804852156999,0.0005146168456411367,21,0.7,1.7133836763500408e-05,0.0008883268680688499,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,mouth,self-pcmci,30,15,0,0.0002986246978968002,0.00036671716546878333,19,0.6333333333333333,-8.347588291040013e-05,0.0006626803277539001,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_brow,full-pcmci,30,15,0,-3.496677681249973e-05,-6.993166096801e-05,14,0.4666666666666667,-0.00014485039015944964,0.00010584058481999999,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_brow,persistence-self,30,15,0,0.00015620399010100004,0.00014769121402471,19,0.6333333333333333,-8.323889415400021e-06,0.0002965124212088001,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_brow,self-full,30,15,0,0.0006133729374976997,0.0005613695349942434,21,0.7,2.3574526397399792e-05,0.0011068957880499002,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_brow,self-pcmci,30,15,0,0.0005099565927237002,0.0004914378740262333,21,0.7,1.4966997536049794e-05,0.0009836535975081,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_cheek,full-pcmci,24,12,0,-0.00015943065390519942,-0.00017197841040522485,8,0.3333333333333333,-0.0003109866095551495,5.193960180312088e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_cheek,persistence-self,24,12,0,-0.0008669204721176507,-0.0008735496485587833,0,0.0,-0.0010137465531456996,-0.0006919446480589996,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_cheek,self-full,24,12,0,0.00062874831387035,0.0006122540629679999,18,0.75,0.00022694116872009956,0.0011181399740850997,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_cheek,self-pcmci,24,12,0,0.0003900057606167004,0.00044027565256277504,16,0.6666666666666666,0.0002445666721817498,0.0006502222727533501,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_eyelid,full-pcmci,30,15,0,-7.626881959909996e-05,-5.9004258502306596e-05,14,0.4666666666666667,-0.00025093455624795,0.00015787209464530015,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_eyelid,persistence-self,30,15,0,-0.00032833591120854993,-0.00034549784181303,0,0.0,-0.0005149720329247001,-0.00021544162154734942,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_eyelid,self-full,30,15,0,0.0006133166803007498,0.0005818787866249298,22,0.7333333333333333,0.00021005496367224952,0.0010329156262004003,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,right_eyelid,self-pcmci,30,15,0,0.0006014257291267503,0.0005228745281226234,22,0.7333333333333333,0.00018212356109829995,0.0009836535975081,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,whole_face,full-pcmci,24,12,0,-7.374230629274411e-05,-7.577654264571917e-05,4,0.16666666666666666,-0.00010857873986078138,-5.77646504378122e-05,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,whole_face,persistence-self,24,12,0,-0.000500206068825281,-0.00048621080009864266,0,0.0,-0.0006700898981411756,-0.0002881536258203311,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,whole_face,self-full,24,12,0,0.0005121795596492373,0.0005335489510830474,24,1.0,0.00042059703312214997,0.0006396537932521749,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
speaking,whole_face,self-pcmci,24,12,0,0.0004618380714035311,0.0004577724084373282,24,1.0,0.0003490292906691249,0.0005688595930950875,nominal_fixed_oof_group,difference,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
