condition,target,source,lag,n_subjects,n_groups,n_missing,median,mean,n_positive,fraction_positive,ci_low,ci_high,ci_status,estimand,is_synthetic,synthetic_notice,protocol_id
non_speaking,jaw,left_eyelid,11,30,15,0,-0.00041685733872905,-0.00035750711855718926,6,0.2,-0.0006259270041983,-0.0002393008833393,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,12,30,15,0,-0.0004802295822781,-0.00043400758433276976,2,0.06666666666666667,-0.000643053201462,-0.0003419484757812,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,13,30,15,0,-0.00054927212540995,-0.00051521973356481,0,0.0,-0.0006692265611454,-0.0004473985017561,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,14,30,15,0,-0.0005999795869338501,-0.0005762484219128766,0,0.0,-0.00068357602040575,-0.0005289836996196,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,left_eyelid,15,30,15,0,-0.0006089664804550001,-0.0005933219322711634,0,0.0,-0.00066407664593955,-0.0005621631069603001,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,1,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,2,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,3,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,4,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,5,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,6,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,7,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,8,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,9,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,10,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,11,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,12,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,13,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,14,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,mouth,15,30,15,0,1.0584000604489665e-05,6.3404099018269995e-06,15,0.5,-6.23943320665829e-05,9.754317602356752e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,1,30,15,0,-0.00016276446369100001,-0.00013690601446838713,9,0.3,-0.00021540753248125,-7.913364810289633e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,2,30,15,0,-0.0002011499627737,-0.00016605024959428228,11,0.36666666666666664,-0.0002726065532101,9.041650398349324e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,3,30,15,0,-0.00026289987375385,-0.00021783094991299456,11,0.36666666666666664,-0.00035465195206395,6.991499933699068e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,4,30,15,0,-0.0003572791863051,-0.00030253684887116797,9,0.3,-0.0004687245638085,-2.9459407402032158e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,5,30,15,0,-0.000488123361193,-0.00042522461109542733,9,0.3,-0.0006161737017101,-0.00011145960665105,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,6,30,15,0,-0.00064560135248155,-0.0005772364462906778,7,0.23333333333333334,-0.00078477978613215,-0.00023620399236205,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,7,30,15,0,-0.00080149286522245,-0.0007312023125883594,6,0.2,-0.0009445915625092,-0.0003805639370179,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,8,30,15,0,-0.0009147729757958999,-0.0008464080696049793,0,0.0,-0.0010539514094464499,-0.0005053756156763499,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,9,30,15,0,-0.00094844532465815,-0.0008855465745605334,0,0.0,-0.0010764956651752,-0.00057178157011615,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,10,30,15,0,-0.00088873435824825,-0.0008339920208143067,0,0.0,-0.0010001797357517,-0.00056091457934515,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,11,30,15,0,-0.0007532834299983501,-0.0007082145061574268,0,0.0,-0.0008450355083084501,-0.0004833920563107,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,12,30,15,0,-0.00058201718902995,-0.0005469174758504933,0,0.0,-0.0006534737794663,-0.00037182557585785,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,13,30,15,0,-0.0004173233347414,-0.00039146488551872053,0,0.0,-0.00046996640353155,-0.0002624722358606,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,14,30,15,0,-0.0002870884423857,-0.0002690676487662385,0,0.0,-0.0003237754791834,-0.00017917246990605,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_brow,15,30,15,0,-0.00019946156885655,-0.0001875815295141463,0,0.0,-0.00022364715411525002,-0.00012831897515035,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,1,24,12,6,-4.521677215442183e-05,-6.773952754148311e-05,10,0.4166666666666667,-0.0001500597379344,9.998172702389033e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,2,24,12,6,-9.940294004218489e-06,-4.051220677787793e-05,11,0.4583333333333333,-0.0001522519228291,0.0001871490840696,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,3,24,12,6,4.8128433693095905e-05,8.87332065495902e-06,13,0.5416666666666666,-0.0001346033148083,0.00030119620449904996,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,4,24,12,6,0.0001383813375865,9.070066405790527e-05,13,0.5416666666666666,-8.357122271151693e-05,0.00044576656275909995,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,5,24,12,6,0.00026492140584175,0.00021013648233759842,16,0.6666666666666666,9.898707175519036e-06,0.00061810593116745,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,6,24,12,6,0.0004183920725533,0.0003588461173439526,16,0.6666666666666666,0.0001412068686531,0.0008022697633580499,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,7,24,12,6,0.0005712563048039,0.0005100331081084182,19,0.7916666666666666,0.0002862635760823,0.0009659467466398999,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,8,24,12,6,0.0006832330129967,0.000623687057787287,19,0.7916666666666666,0.0004060478090965,0.0010671107038014499,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,9,24,12,6,0.0007178372823733,0.0006630523588691158,21,0.875,0.000462814583707,0.001071021807699,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,10,24,12,6,0.0006612859655254,0.0006136052919968467,21,0.875,0.0004393334052274,0.0009686711906981,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,11,24,12,6,0.0005306222442017,0.00049136713116358,21,0.875,0.0003478904957003,0.0007836900150077,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,12,24,12,6,0.00036479918686575,0.00033422727409208674,20,0.8333333333333334,0.0002224875580408,0.0005618885649396001,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,13,24,12,6,0.00020524651954415,0.00018272376415710538,19,0.7916666666666666,0.0001004035537641,0.0003504450187225,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,14,24,12,6,7.921999439977883e-05,6.352385102019681e-05,16,0.6666666666666666,6.15476792365996e-06,0.00018040905508235,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_cheek,15,24,12,6,-5.341512878820863e-06,-1.56890483320833e-05,11,0.4583333333333333,-5.350907882667455e-05,6.136642725496598e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,1,30,15,0,-0.00015275603466945,-0.0001290294891925103,10,0.3333333333333333,-0.0002305146324005,1.1272005669077725e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,2,30,15,0,-0.00017208973508725,-0.00013988382305404312,10,0.3333333333333333,-0.00027763761439334996,3.678812040267595e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,3,30,15,0,-0.00019355808167954998,-0.00015220487206129839,12,0.4,-0.0003290842413861,7.464639375274912e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,4,30,15,0,-0.00021542579929225,-0.00016519670212339113,12,0.4,-0.00038004075198065,0.00011034501225955873,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,5,30,15,0,-0.00023540588928415,-0.00017769283612370997,12,0.4,-0.00042454788169485,0.00013890360909287955,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,6,30,15,0,-0.0002508946849408,-0.00018816613375047982,12,0.4,-0.00045647388242655,0.00015594382461946662,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,7,30,15,0,-0.00025937090954895,-0.00019487547212682145,12,0.4,-0.0004707406927677,0.0001589270924986009,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,8,30,15,0,-0.00025898945472585,-0.00019626090353556556,12,0.4,-0.0004645686522116,0.00014784905483437074,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,9,30,15,0,-0.00024924910305015,-0.00019153604988968954,12,0.4,-0.00043839109546085,0.0001250603953268982,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,10,30,15,0,-0.00023140819452025,-0.00018117909735141267,12,0.4,-0.00039602314720875,9.436261703155138e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,11,30,15,0,-0.0002083053345486,-0.0001669521249303651,12,0.4,-0.0003438314942552,5.9899140883665774e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,12,30,15,0,-0.00018354351493695,-0.00015133760290375088,10,0.3333333333333333,-0.00028909139424314995,2.533434055296789e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,13,30,15,0,-0.00016041135669980002,-0.00013668481122288187,10,0.3333333333333333,-0.0002381699544309,-6.528121463449979e-06,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,14,30,15,0,-0.00014107664582715,-0.00012454157925529272,9,0.3,-0.00019526673394055,-3.383517903186861e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,jaw,right_eyelid,15,30,15,0,-0.0001263614115347,-0.0001154608238274347,6,0.2,-0.00016208571937315,-5.566347938094993e-05,nominal_fixed_oof_group,gain,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
