is_synthetic,synthetic_notice,subject_id,region_id,time_index,y_true,self_prediction,pcmci_prediction
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,35,0.398111,0.442598,0.414126
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,36,0.41501,0.445058,0.423399
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,37,0.402562,0.416727,0.402945
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,38,0.368412,0.365414,0.360631
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,39,0.322035,0.30078,0.306148
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,40,0.272976,0.232704,0.249276
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,41,0.229147,0.169698,0.198221
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,42,0.195496,0.117634,0.158288
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,43,0.173257,0.078997,0.131139
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,44,0.159927,0.052766,0.11473
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,45,0.149939,0.034946,0.103942
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,46,0.135929,0.019619,0.09178
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,47,0.110362,0.000338,0.07093
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,48,0.067211,-0.028399,0.035376
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,49,0.003407,-0.069868,-0.018192
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,50,-0.080219,-0.12425,-0.089455
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,51,-0.17868,-0.18835,-0.174185
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,52,-0.283308,-0.255943,-0.264672
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,53,-0.382918,-0.318708,-0.350795
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,54,-0.465451,-0.36758,-0.421568
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,55,-0.519836,-0.394295,-0.466891
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,56,-0.537768,-0.392858,-0.479218
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,57,-0.515087,-0.360678,-0.454859
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,58,-0.45253,-0.299166,-0.394684
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,MOCK_S01,mouth,59,-0.355737,-0.213685,-0.304112
